,PC1,PC2,PC3,PC4,FA1,FA2,FA3,FA4
Ag,0.09817501,-0.084967054,0.6637772,-0.5276036,0.3391121025760344,-0.04336306209119313,-0.10111353252107681,-0.3615272050727064
As,0.250617,0.095077224,-0.35966817,-0.1415025,0.6373418420030895,0.4487875352425534,0.3108560200805285,0.2371924106293495
Ba,0.27081054,-0.023037758,0.23597142,0.19019258,0.7792504539106149,0.3448503461869046,-0.46790068997622375,0.07269282205198538
Bi,-0.0018219606,0.57952327,0.03232492,0.18637444,0.32070067709177114,-0.6029040344561188,0.25668705137091713,0.5126848057872081
Cd,-0.0934903,0.5230775,-0.038438026,-0.08729148,0.024707387695168503,-0.62476085313412,0.22882446791383107,0.263523388524098
Co,0.29813978,-0.13432738,-0.12429046,-0.063482106,0.7118807338470029,0.6643606873571625,-0.009141689060871436,-0.07913608734095977
Cu,0.27443662,-0.060287137,-0.34033328,-0.1844626,0.6416744101235393,0.6411411882552536,0.3642015225809731,-0.02255966927982413
Fe,0.26851878,-0.2186801,-0.054930665,-0.023494175,0.6171081332804876,0.6154565606830854,-0.1126948537597841,-0.23819927159380347
In,-0.21863095,-0.33941275,-0.35662636,-0.15784213,-0.946944952096574,0.310675959560099,-0.014031792462328907,0.028087327875231768
Mn,0.29201224,0.16650473,0.022168744,0.04474312,0.9233600781275713,0.22397485073650256,0.11052073292005371,0.04267321036501994
Mo,-0.20419851,-0.32876584,0.1895898,0.22750087,-0.5883471391961871,-0.22633778210914188,-0.23547718937619824,-0.44855554471714254
Ni,0.28486866,-0.01696139,-0.0858634,-0.10728045,0.7760778588899013,0.45232438526576446,0.2185203718491331,-0.14901941230750584
Pb,0.3015953,-0.0050130663,0.03607079,0.077603996,0.8430629994788853,0.4186024628354809,-0.10491591801847061,0.04014910356810298
Sb,0.27913168,-0.10841144,0.07568932,-0.14145406,0.7278579277860812,0.4585944670344572,-0.057073314802031566,-0.15871416498040877
Sn,0.1388875,-0.18299045,0.020055298,0.63926923,0.3622304618004508,0.18505747647714582,-0.08062619534850583,-0.2566716887267108
Tl,0.26608613,0.004476434,0.23718153,0.24371643,0.7772114591845509,0.29584890546347753,-0.43845849073021187,0.13363967139454563
Zn,0.3070536,0.08758017,-0.053513184,-0.014081903,0.8732582132632128,0.4192423415911318,0.029322347180392554,0.15127915382914933
