,PC1,PC2,PC3,PC4,FA1,FA2,FA3,FA4
Ag,0.114059426,0.9814395,0.08915454,0.043979228,0.4201059936403652,-0.8515482724672939,-0.27163578006855293,-0.00028926750184899905
As,0.2546571,-0.028828515,-0.05174601,-0.062447704,0.9999999907491646,6.010310201120064e-10,-1.119059121617672e-09,-2.4403088595442016e-12
Ba,0.22537424,-0.10599677,0.3517457,0.89196,0.8668640753714683,-0.07700075171539364,0.33671257300327617,0.021306261167867064
Bi,0.25465712,-0.02882843,-0.05174605,-0.062447473,1.0000000213833689,-2.2060121494956036e-10,5.441953442092897e-10,-1.9197120794198738e-11
Cd,0.25453037,-0.029658271,-0.05191263,-0.06379547,0.9994330464677954,0.00031838590765444083,0.0014235622903042706,-0.023794241032110607
Co,0.25464737,-0.028864013,-0.051763564,-0.06239513,0.9999692927885843,6.717427826332936e-05,-0.00012527659910031218,0.004659941329187386
Cu,0.2546571,-0.028828515,-0.05174601,-0.062447704,0.9999999907491646,6.010310201137973e-10,-1.119059121617672e-09,-2.4403088594418784e-12
Fe,-0.25438324,-0.08310248,-0.02510595,-0.012318418,-0.9919807392042521,0.12229241514407613,-0.025734351097346862,4.325273884848296e-05
In,0.25461215,-0.028839871,-0.051849976,-0.063055605,0.9998057175616385,-4.2587270678850364e-05,0.00010179252769051951,-0.0013486276315538511
Mn,0.22623119,-0.0059868246,-0.45071864,0.22462197,0.8809883756488466,-0.03920629690395411,0.027285125320249116,-0.008227711875626783
Mo,0.25410688,-0.02946856,-0.052515678,-0.068295695,0.9974188091357007,-0.0014467416645145847,0.004569950590056389,-0.007070824731784077
Ni,0.25464955,-0.028845776,-0.05213861,-0.062529705,0.9999813166789534,9.588009801528597e-05,-0.000212695894667293,0.00041501878055029233
Pb,0.25465712,-0.02882843,-0.05174605,-0.062447473,1.0000000213833689,-2.2060121494956036e-10,5.441953442094294e-10,-1.919712079430324e-11
Sb,0.25465712,-0.02882843,-0.05174605,-0.062447473,1.0000000213833689,-2.2060121494956036e-10,5.441953442094294e-10,-1.919712079430324e-11
Sn,0.25465712,-0.02882843,-0.05174605,-0.062447473,1.0000000213833689,-2.2060121494956036e-10,5.441953442092897e-10,-1.9197120794298885e-11
Tl,0.20673634,-0.09190408,0.7951961,-0.32205912,0.7898528484236322,-0.12798455313678167,0.42538549653183017,0.016832313909850738
Zn,0.2541439,-0.030356904,-0.051058114,-0.06506007,0.9974338972299603,-0.0017477874963905669,0.007406847234854864,-0.007977999554459837
