,importance
rad_th_k_bmc,0.11247951
rad_th_bmc,0.07592838
geochem_fa_factor2_idw,0.041703723
geochem_mo_ppm_idw,0.040623076
geochem_pca_pc4_idw,0.0328037
zn_ppm,0.029090507
mo_ppm,0.02875457
geochem_pca_pc3_idw,0.028178876
geochem_zn_ppm_idw,0.027791578
tl_ppm,0.024169553
mag_rmi_tdr_bmc,0.018708756
ni_ppm,0.018165957
geochem_pca_pc2_idw,0.01708471
sb_ppm,0.0164525
geochem_sn_ppm_idw,0.016256463
geochem_fe_ppm_idw,0.016121194
fe_ppm,0.016094914
mag_rmi_as_bmc,0.015952982
geochem_bi_ppm_idw,0.015275443
geochem_cd_ppm_idw,0.014733223
geochem_pb_ppm_idw,0.01456839
geochem_cu_ppm_idw,0.014369686
geochem_fa_factor4_idw,0.014022524
in_ppm,0.013337531
geochem_co_ppm_idw,0.013289843
geochem_tl_ppm_idw,0.01294029
gra_ggr_res_bmc,0.012701832
cd_ppm,0.012500989
gra_ggr_fvd_bmc,0.011847496
co_ppm,0.011816857
pb_ppm,0.01147571
mag_rmi_fvd_bmc,0.011428782
gra_ggr_hgm_bmc,0.0113199605
geochem_mn_ppm_idw,0.010952772
geochem_ag_ppm_idw,0.010927593
ag_ppm,0.0108479755
mag_rmi_thg_bmc,0.0106743
mn_ppm,0.0106389895
rad_u_k_bmc,0.010601951
gra_ggr_as_bmc,0.010302328
gra_ggr_uc500_bmc,0.009803052
as_ppm,0.009716041
rad_u_bmc,0.009546534
geochem_as_ppm_idw,0.009492775
rad_k_th_bmc,0.009281302
geochem_fa_factor1_idw,0.008933154
rad_k_bmc,0.008880243
bi_ppm,0.008843509
gra_ggr_tdr_bmc,0.008727276
geochem_pca_pc1_idw,0.008510257
geochem_fa_factor3_idw,0.0078767715
ba_ppm,0.007843875
cu_ppm,0.0077537587
geochem_ba_ppm_idw,0.0071226745
geochem_ni_ppm_idw,0.006559351
rad_u_th_bmc,0.006527403
geochem_sb_ppm_idw,0.0063289637
mag_rmi_bmc_combined1,0.0052620075
sn_ppm,0.0048591294
geochem_in_ppm_idw,0.0011965148
