shap_mag_rmi_bmc_combined1,shap_mag_rmi_fvd_bmc,shap_mag_rmi_thg_bmc,shap_mag_rmi_as_bmc,shap_mag_rmi_tdr_bmc,shap_gra_ggr_hgm_bmc,shap_gra_ggr_tdr_bmc,shap_gra_ggr_fvd_bmc,shap_gra_ggr_as_bmc,shap_gra_ggr_uc500_bmc,shap_gra_ggr_res_bmc,shap_rad_k_bmc,shap_rad_th_bmc,shap_rad_u_bmc,shap_rad_k_th_bmc,shap_rad_u_th_bmc,shap_rad_th_k_bmc,shap_rad_u_k_bmc,shap_geochem_ag_ppm_idw,shap_geochem_as_ppm_idw,shap_geochem_ba_ppm_idw,shap_geochem_bi_ppm_idw,shap_geochem_cd_ppm_idw,shap_geochem_co_ppm_idw,shap_geochem_cu_ppm_idw,shap_geochem_fe_ppm_idw,shap_geochem_in_ppm_idw,shap_geochem_mn_ppm_idw,shap_geochem_mo_ppm_idw,shap_geochem_ni_ppm_idw,shap_geochem_pb_ppm_idw,shap_geochem_sb_ppm_idw,shap_geochem_sn_ppm_idw,shap_geochem_tl_ppm_idw,shap_geochem_zn_ppm_idw,shap_geochem_pca_pc1_idw,shap_geochem_pca_pc2_idw,shap_geochem_pca_pc3_idw,shap_geochem_pca_pc4_idw,shap_geochem_fa_factor1_idw,shap_geochem_fa_factor2_idw,shap_geochem_fa_factor3_idw,shap_geochem_fa_factor4_idw,shap_ag_ppm,shap_as_ppm,shap_ba_ppm,shap_bi_ppm,shap_cd_ppm,shap_co_ppm,shap_cu_ppm,shap_fe_ppm,shap_in_ppm,shap_mn_ppm,shap_mo_ppm,shap_ni_ppm,shap_pb_ppm,shap_sb_ppm,shap_sn_ppm,shap_tl_ppm,shap_zn_ppm,shap_sum
0.07869582,0.47280878,0.03132564,0.33930582,0.27659392,-0.028855274,-0.3136082,-0.03632916,-0.04081875,-0.3271289,0.19746149,-0.11375067,0.27176762,0.24089645,-0.09931074,0.22412494,0.8941132,-0.058074508,0.09499292,0.11210014,-0.036640354,-0.10957413,0.020336166,0.055813123,0.19334924,0.20886701,-0.003205517,0.08787681,0.41458118,0.22424097,-0.0359898,-0.09965315,-0.3045177,0.32550848,-0.030077014,0.12705724,0.12990032,0.0011751177,0.12537806,0.12057988,0.2638002,-0.02046212,0.10056426,0.32250607,0.12433562,0.08175317,-0.012063162,0.3416051,0.0640305,0.07167323,0.0090630045,-0.037301783,-0.016958617,-0.018000761,-0.37024936,0.17238039,0.068211764,0.3541068,-0.0058424375,0.59797645,5.7224455
0.036891602,0.1389594,0.41787207,0.3251384,-0.024504177,0.12759414,-0.2071194,0.17744479,0.09351633,-0.28677204,0.3285661,-0.18989632,-0.39262146,-0.04493889,-0.086231716,0.12422069,-1.4806058,0.048746258,0.046941645,0.09865169,-0.059393555,-0.1363507,0.048624888,0.082186945,0.10918681,0.19148415,-0.003205517,0.07475484,0.41006425,0.23051544,-0.03856539,-0.097592,-0.1581694,0.24575838,-0.083429605,0.109049775,0.094238326,-0.0015926794,0.100986324,0.14732444,0.19031546,-0.00021398067,0.0920527,0.34262335,0.05847401,0.0814096,0.02401073,0.32280418,0.058282994,0.15725079,0.043681283,0.00376001,-0.01841508,-0.08963198,-0.082432315,-0.0051951273,0.08475317,0.49839792,0.036108393,0.48928437,2.8050494
0.05809937,0.28513756,-0.019132875,0.32317647,0.160671,-0.030968644,0.19352703,0.09806742,0.030071137,0.5102803,0.2668772,0.12201604,0.41583377,-0.16590902,0.18223517,0.2134538,1.2750274,0.03955032,0.008939665,-0.17161894,0.09482303,0.10688618,-0.0609687,-0.030568376,0.01015512,-0.13584709,0.001021414,0.056803815,0.30853793,-0.07067789,0.16738132,0.108312085,0.09791309,-0.29721212,0.14920135,-0.09882479,-0.08841258,0.007982973,0.048255898,-0.024897734,-0.356691,0.008352669,-0.050475948,-0.1357303,0.07217744,0.020613339,-0.049136627,-0.12877147,0.027849613,0.019110303,0.018585706,-0.16909061,-0.026998378,0.09686345,-0.10024007,-0.088636026,0.0030827615,-0.10074554,0.015285123,0.2878398,3.5084434
-0.014175833,-0.11858426,0.054961342,-0.36928463,-0.057112597,0.18301964,-0.0044123027,0.071471095,-0.052139632,0.60040975,0.2556881,0.16060275,0.27737457,0.2752634,0.015657173,-0.61087394,1.0339103,0.14393428,-0.022294879,0.019621309,0.09795971,0.12659898,-0.06252299,-0.009033624,0.09429019,-0.015815524,0.003930341,0.04401699,0.32451028,-0.048578035,0.36938354,0.095516086,0.13014865,-0.17513703,0.1571232,-0.12374944,-0.03212118,0.027417367,0.05029466,-0.02672789,-0.31936714,0.008352669,-0.055193797,0.1807017,0.027697463,0.06038351,-0.03189469,0.23901373,0.0950793,0.07179644,-0.004360337,-0.12334873,-0.023856057,0.26798177,-0.18640037,-0.08352257,-0.027418818,0.2641607,0.04551612,0.24773921,3.5235999
0.05599713,-0.00065288786,-0.009317409,0.3246164,0.06622903,0.13292332,0.0066059604,-0.02417086,-0.065611534,0.44351837,0.14918892,-0.3126704,0.24352127,0.4518906,-0.07908251,0.63092184,1.0465477,0.10247558,0.012604699,-0.08747598,0.12528026,0.016003642,-0.11574714,-0.02720034,0.15179445,-0.16031623,0.003930341,0.0074476525,0.27218583,-0.07035023,0.20263699,0.09743905,0.12771931,-0.23390476,0.17257515,-0.11432715,-0.19599824,0.027510375,0.018247753,-0.004715304,-0.3867356,0.008122778,-0.034929197,-0.13905163,-0.063695386,0.011907961,-0.03490276,0.2554788,0.08545761,-0.07913159,0.03480155,0.30557072,-0.021436166,0.3288692,-0.51623076,-0.3593066,-0.063397154,0.25728825,-0.11939476,0.37373006,3.2312856
-0.0263415,-0.12457379,-0.032060467,-0.52214825,6.167777e-05,0.1596321,0.15619683,-0.054139055,-0.030690335,0.58838034,0.1470401,0.071420066,0.17735282,0.439497,0.24698433,0.085569374,0.7045083,0.18435186,0.029369865,-0.22041903,-0.21768714,-0.3108572,0.06819396,0.041557543,0.05154492,-0.08077136,-0.013181504,0.08370757,0.4298173,0.21886064,0.14023516,-0.12344758,0.6103841,0.35714555,-0.062715456,0.082088895,-0.0036672652,0.006096582,0.09558567,0.0851064,0.31797597,-0.022932045,0.07823993,0.22252199,0.15651938,0.11620273,-0.028337155,0.2812748,-0.08094724,-0.005628663,0.02654244,-0.070079625,0.08644254,0.099506155,-0.3458064,-0.0145306615,0.121229306,-0.05192509,-0.054407418,0.2838009,4.553651
0.087167986,0.86672825,0.098721266,0.3671944,0.29687938,0.006454204,-0.005307097,0.053407304,-0.013273718,-0.08237158,0.3080177,0.08344339,0.25812194,-0.1866128,-0.064698584,0.60707706,0.86450547,-0.10883603,0.058376245,-0.15207255,-0.048549403,-0.16682307,0.088611186,-0.012450236,-0.22294739,0.00021209009,-0.009095056,-0.026030777,0.39915818,0.04151371,0.11295246,-0.07605747,-0.45373237,-0.41483915,0.06774473,0.08819213,0.030533243,0.0051932246,0.11144093,0.06632852,0.20163065,-0.022912795,0.014781351,0.15692556,-0.054898527,0.07021033,-0.031682916,0.27151442,0.036930956,-0.11676353,0.0054358654,-0.07990783,-0.022179969,0.28683296,-0.034619458,-0.07922772,0.0010091467,0.3653979,-0.15100764,0.5523054,4.294052
0.087600015,0.8765494,-0.07990523,0.40791732,0.26497316,-0.066255465,-0.0039930455,0.030265283,-0.010416184,-0.15600675,0.3413801,0.07231775,0.3519805,-0.14675978,-0.055117067,0.60728437,1.1074243,-0.019169917,0.08420672,-0.21235998,-0.027974216,-0.16930042,0.05386652,-0.012450236,-0.24564797,-0.033395935,-0.009095056,-0.009953365,0.364455,0.04668409,0.12065004,-0.073729694,-0.42696404,-0.36485302,0.059160993,0.119166166,0.09932499,0.0051932246,0.14047948,0.06527937,0.20935987,-0.022912795,0.0050708978,0.30368003,-0.054522704,0.026460992,-0.029571744,0.26785815,-0.09487073,0.10161703,0.005446924,-0.07028659,-0.022648597,0.35506314,-0.23762348,0.005268923,-0.0019953484,0.09618741,0.0068160426,0.5841036,4.615312
0.04190328,0.9738132,0.4276098,0.31256384,0.21935788,-0.058751125,0.20314848,0.001248138,0.49235448,-0.15033904,-0.5796775,0.065806426,-0.22671904,0.3064722,0.18113866,0.81893617,-1.3759478,0.096268594,0.0808691,0.07221405,0.08104231,-0.033947513,-0.049086615,-0.008782744,-0.17417906,0.144105,0.00569626,0.07616389,0.3189509,-0.032184124,-0.021207914,-0.009695029,-0.25976378,-0.28608674,-0.035017032,-0.13291726,-0.11132414,0.004039028,0.06664041,-0.045623444,-0.34994313,-0.0017729774,-0.017366745,-0.19584022,0.09063803,-0.06117759,0.33425137,0.28722647,0.08508377,0.007328745,-0.02326511,-0.1251231,-0.0155961495,0.15151441,0.022818428,-0.1150856,0.093525425,0.09276494,-0.008176291,0.6076892,2.258586
-0.008350279,-0.3493793,0.07221326,0.33856618,-0.11801598,-0.13831827,0.15046668,0.027067224,0.4020753,-0.016777547,-0.7797632,0.19502005,0.31262827,-0.29880625,0.18124615,0.29369107,1.1008884,-0.12277512,0.1038229,0.07691305,0.040483378,0.39433205,0.025309835,-0.014649691,-0.16393387,0.118451536,0.00072236126,-0.004743293,0.26296648,0.120523125,0.16086426,0.005546229,-0.30967477,-0.28461495,0.18080308,-0.13756084,-0.15867391,0.0051007234,0.1119082,-0.021526828,-0.44563767,0.007216979,-0.06471255,0.25488418,-0.032926664,-0.05350238,0.07982847,-0.10843857,0.029591564,0.115325995,-0.07356041,0.25875205,0.040840752,0.2802896,0.39540154,0.23479995,0.22654524,-0.083734214,0.023609737,0.5761325,3.4147518
